Title,Open Comments,Category to update,Loom - Short Video,Screen Shots/ Attachments,Notes,Assigned To
Company Updates,0,Company Updates,https://www.loom.com/share/074e17fd80484789b34d480a9a4a0399?sid=b23c3655-fd79-4aca-b86e-abd6b6615b53,,,Udi Stryk
Software logins,0,Software logins,,2025-01-03_20-16-20.PNG,TechSmith (Snagit licenses) ,"Operation Manager, Success Management"
To do's,0,To do's,,2025-02-20_17-50-24.png,,Success Management
