Adaptation ID,Open Comments,Adaptation Process Status,Compliance Status,Kosher Status,Graphics Status,Kosher Progress,Kosher Status.s,Staus for Compliance,Lookup Kosher Status,Proposal,Supplier,Buyer,Compliance,Kosher,Kosher Expirey Message,Request,Graphics,Buyer contacts for Adaptation,Supplier contact.s for Adaptation,Contractors contact.s for Adaptation,Compliance docs.,Graphic docs.,Kosher Docs.,Auto Number,Compliance Completion,dev | approved compliance records,dev | Approved Graphics Records,First Created,Graphics Completion,"ID",ID (lookup from Proposal),Kosher Progress %,Last Updated,Link to Project status,Link to Requests,Versioning
"No-added sugar Chocolate-covered wafers, Shufersal- Helwa, Netherlands, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"No-added sugar Chocolate-covered wafers, Shufersal- Helwa, Netherlands",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"No-added sugar Chocolate-covered wafers, Shufersal",,,,,,,,#214,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002189,002189,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal- Icam, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal",,,,,,,,#215,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002202,002202,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Finely Chopped Tomatoes 3x400, Shufersal- La Doria, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Finely Chopped Tomatoes 3x400, Shufersal- La Doria, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Finely Chopped Tomatoes 3x400, Shufersal",,,,,,,,#216,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002219,002219,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Legumes in Conerves, Shufersal- La Doria, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Legumes in Conerves, Shufersal- La Doria, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Legumes in Conerves, Shufersal",,,,,,,,#217,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002262,002262,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Tomato based Paste sauces, 350 gr, Shufersal- La Doria, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Tomato based Paste sauces, 350 gr, Shufersal",,,,,,,,#218,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002194,002194,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Tomato products, Shufersal- La Doria, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Tomato products, Shufersal- La Doria, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Tomato products, Shufersal",,,,,,,,#219,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002257,002257,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Pita Chips & Grissini, Shufersal- La Mole, Italy, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Pita Chips & Grissini, Shufersal- La Mole, Italy",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Pita Chips & Grissini, Shufersal",,,,,,,,#220,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002240,002240,,"By SmartSuite Automation on 19 Feb, 2025",,,
"MUNCHIES SPICY RICE AND  PEANUTS 400GR, Shufersal- Maas Intersales, Netherlands, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"MUNCHIES SPICY RICE AND  PEANUTS 400GR, Shufersal- Maas Intersales, Netherlands",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"MUNCHIES SPICY RICE AND  PEANUTS 400GR, Shufersal",,,,,,,,#221,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002277,002277,,"By SmartSuite Automation on 19 Feb, 2025",,,
"Sultanas Organic 250 and 500  gr., Shufersal- Ozgur, Turkey, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"Sultanas Organic 250 and 500  gr., Shufersal- Ozgur, Turkey",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"Sultanas Organic 250 and 500  gr., Shufersal",,,,,,,,#222,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002225,002225,,"By SmartSuite Automation on 19 Feb, 2025",,,
"organic chestnuts, Shufersal- Maas Intersales, Netherlands, 19 Feb, 2025",0,New,Not Started,New,Not Started,0.1,,,,"organic chestnuts, Shufersal- Maas Intersales, Netherlands",,,,Kosher:, ⚠️ KOSHER EXPIRED  days ago,"organic chestnuts, Shufersal",,,,,,,,#223,0/0 approved ⏳,0,0,"By SmartSuite Automation on 19 Feb, 2025",0/0 approved ⏳,002215,002215,,"By SmartSuite Automation on 19 Feb, 2025",,,
