Title,Open Comments,Product,Date,Incoterms,Currency,Auto Number,Description,First Created,Last Updated,Unit price (Purchase/Base price) $/€
"000027 - Gluten free spaghetti [Pastificio Mennucci S.P.A, Italy][]__17/2/2025",0,"000027 - Gluten free spaghetti [Pastificio Mennucci S.P.A, Italy][]",17/2/2025,EXW (Ex Works),Euro,#059,,"By SmartSuite Automation on 10 Dec, 2024","By Success Management on 3 Mar, 2025",0.89
"000028 - Gluten free fusilli [Pastificio Mennucci S.P.A, Italy][]__17/2/2025",0,"000028 - Gluten free fusilli [Pastificio Mennucci S.P.A, Italy][]",17/2/2025,EXW (Ex Works),Euro,#012,,"By SmartSuite Automation on 10 Dec, 2024","By Success Management on 3 Mar, 2025",0.89
"000031 - Sultana raisins, Organic 250 gr, Shufersal [Ozgur, Turkey][Shufersal]__10/12/2024",0,"000031 - Sultana raisins, Organic 250 gr, Shufersal [Ozgur, Turkey][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#134,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]__10/12/2024",0,"000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#033,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]__10/12/2024",0,"000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#116,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]__10/12/2024",0,"000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#060,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000039 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Shufersal]__10/12/2024",0,"000039 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#101,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal]__10/12/2024",0,"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#029,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]__10/12/2024",0,"000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#064,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000054 - GREEN PEAS [Ardo, Belgium][Shufersal]__10/12/2024",0,"000054 - GREEN PEAS [Ardo, Belgium][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#120,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]__10/12/2024",0,"000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#111,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]__10/12/2024",0,"000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",10/12/2024,FOB (Free On Board),Euro,#032,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
"000060 - organic chestnuts [Maas Intersales, Netherlands][Shufersal]__10/12/2024",0,"000060 - organic chestnuts [Maas Intersales, Netherlands][Shufersal]",10/12/2024,FOB (Free On Board),USD,#035,,"By SmartSuite Automation on 10 Dec, 2024","By Udi Stryk on 10 Dec, 2024",
