Shipping ID,Arrival Date,Arrival Filter,Buyer,Buyer's P.O Lines Confirmation,Cartons Per Shipment,Cartons Per Shipment (from Report),Comments,Commission Difference,Commission from Report,Commission payment ($/€),Commission Rate (%),Commission Rates,Completed Fields,Completion Percentage,Container number/ ID,Container Size,Currency for P.O,Days to destination,Delay in Ports,dev - Confirmation Received,dev - Order Status (Formula),Difference (Cartons/🚢 est vs actual),Difference (Estimated vs Arrived),Difference between order & Shipping,Difference Units/🚢 (est. vs actual),Differnce between Shipping & Invoice (ILS),Dry/ Reefer Container?,Est. Arrival in Next 14 days,Est. Arrival in Next 30 days,Est. Arrival in Next 7 days,Est. Arrival in past 14 days,Est. Arrival in past 30 days,Est. Arrival in past 7 days,First Created,Formula Shorba,Invoice ID,Invoice Status,Last Updated,Link to Invoices,Link to Project status,Linked Order line,Loading Start/Commercial invoice DATE,Lookup OL Statuses,Lookup Order Status,LookupTEMP,Open Comments,Order,Order line ID,Order Line Items,Order Lines SUM. Price,Order Status (No Needed),Payer,Percent Completed,Percentage arrived in shipment,Purchase order files (Orders),Requested delivery date,Shipment Number (Buyer Ref.),Shipment's Invoice.s SUM. $/€,Shipping company,Shipping documentation,Shipping Status,Supplier,Supplier's Invoice Number.s,Units Per Shipment,Units Per Shipment (from Report)
"40  - Order: 000420-SHF [114758],Ardo, Belgium",19/10/2024,,Shufersal,,2340,2340,,,,571.2768000000001,3.00,"Ardo, Belgium  _ Shufersal",,,ZMOU8884217,40 FT.,EUR,8,10,No,Completed,0,,19042.56,0,"21,675.910",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 12 Jan, 2025",,"SI246000015, 40  - Order: 000420-SHF [114758],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000015, 40  - Order: 000420-SHF [114758],Ardo, Belgium",,40,1/10/2024,Supplied to Buyer,Completed,"19,042.560",0,Order: 000420-SHF [114758],#971,"40  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000420-SHF [114758]",,Completed,Buyer,1,"-,100.000%",order_114758.PDF,14/1/2024,,19042.56,MSC,Billing Document - 9000012291.pdf,Delivered to Buyer,"Ardo, Belgium",9000012291,35100,35100
"40  - Order: 000411-SHF [115048],Ardo, Belgium",22/4/2024,,Shufersal,,28875,28875,,,,705.1968,3.00,"Ardo, Belgium  _ Shufersal",,,SEKU930673-6,40 FT.,EUR,8,10,No,Supplied to Buyer,0,,23506.56,,"3,387.060",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 12 Jan, 2025",,"SI246000089, 40  - Order: 000411-SHF [115048],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000089, 40  - Order: 000411-SHF [115048],Ardo, Belgium",,40,4/4/2024,Supplied to Buyer,Supplied to Buyer,,0,Order: 000411-SHF [115048],#957,"40  _   000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]  _  Order: 000411-SHF [115048]",,Supplied to Buyer,Buyer,0.82,"-,100.000%",order_115048.PDF,28/4/2024,,23506.56,,nc set 115048-40 (002)  SEKU9306736.pdf,Delivered to Buyer,"Ardo, Belgium",9000016053,,
"40  - Order: 000406-SHF [115448],Ardo, Belgium",17/11/2024,,Shufersal,,,,,,,714.1998,3.00,"Ardo, Belgium  _ Shufersal",,,OTPU652555/3​,40 FT.,EUR,8,10,No,Supplied to Buyer,,,23806.66,,"4,582.760",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 26 Jan, 2025",,"SI246000203, 40  - Order: 000406-SHF [115448],Ardo, Belgium",New,"By Udi Stryk on 20 Feb, 2025","SI246000203, 40  - Order: 000406-SHF [115448],Ardo, Belgium",,40,30/10/2024,Shipping Not Started,Supplied to Buyer,"1,130.760",0,Order: 000406-SHF [115448],#1254,"40  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000406-SHF [115448]",,Supplied to Buyer,Buyer,0.64,"-,100.000%",order_115448 (1).PDF,8/12/2024,,23806.66,,"80376175 order 124097 COA.pdf, Billing Document - 9000024515.pdf, CO_print_92 2024 038947.pdf",In Transit,"Ardo, Belgium",9000024515,,
"40  - Order: 000329-SHF [114696],Ardo, Belgium",25/2/2024,,Shufersal,,1890,,,,,745.0379999999999,3.00,"Ardo, Belgium  _ Shufersal",,,ZMOU8846860,40 FT.,EUR,8,10,No,Supplied to Buyer,1890,,24834.6,1890,"28,385.550",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 8 Jan, 2025",,"SI246000028, 40  - Order: 000329-SHF [114696],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000028, 40  - Order: 000329-SHF [114696],Ardo, Belgium",,40,7/2/2024,Supplied to Buyer,Supplied to Buyer,"24,834.600",0,Order: 000329-SHF [114696],#929,"40  _   000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000329-SHF [114696]",,Supplied to Buyer,Buyer,,"-,100.000%",Print data.PDF,15/2/2024,,24834.6,Zim,"Draft_BL_ZIMUANR81066498.pdf, Delivery Note_26050068817_26241005285.pdf, Billing Document - 9000013475-.pdf",Delivered to Buyer,"Ardo, Belgium",9000013475,1890,
"40  - Order: 000314-SHF [115550],Ardo, Belgium",27/1/2025,,Shufersal,,26,,יצא חש' SI256000015,,,881.9928,3.00,"Ardo, Belgium  _ Shufersal",,,TTNU847434/4​,40 FT.,EUR,8,10,No,Completed,26,,29399.76,2340,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 4 Feb, 2025",,,,"By Success Management on 19 Jun, 2025",,,40,9/1/2025,Supplied to Buyer,Completed,,0,Order: 000314-SHF [115550],#1274,"40  _   000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000314-SHF [115550]",,Completed,Buyer,0.91,"-,100.000%",הזמנת רכש 0000115550.PDF,26/1/2025,,29399.76,,"CO_print_92 2025 001764.pdf, set Shufersal 115550-40 - so 144481.pdf",Delivered to Buyer,"Ardo, Belgium",9000027455,2340,
"40  - Order: 000217-SHF [115501],Ardo, Belgium",21/12/2024,,Shufersal,,30,,"יצא חש' 25600008
לא הועלתה למערכת זו",,,670.3256999999999,3.00,"Ardo, Belgium  _ Shufersal",,,,40 FT.,EUR,8,10,No,Supplied to Buyer,30,,22344.19,2080,,Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 29 Jan, 2025",,,,"By Udi Stryk on 20 Feb, 2025",,,40,3/12/2024,Supplied to Buyer,Supplied to Buyer,,0,Order: 000217-SHF [115501],#1265,"40  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000217-SHF [115501]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115501.PDF,22/12/2024,,22344.19,,"set Shufersal 115501-40 - so 124387.pdf, CO_print_92 2024 042778.pdf",Delivered to Buyer,"Ardo, Belgium",9000026003,2080,
"40  - Order: 000185-SHF [115337],Ardo, Belgium",6/7/2024,,Shufersal,,2400,2400,הופק חש' בפריורטי עבור כמה הזמנות יחד. לבדוק ממה ההפרש נובע,,,725.0688,3.00,"Ardo, Belgium  _ Shufersal",,,OTPU6524460,40 FT.,EUR,8,10,No,Supplied to Buyer,0,,24168.96,91700,"169,629.140",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 11 Jan, 2025",,"SI246000161, 10  - Order: 000170-SHF [115368],Ardo, Belgium10  - Order: 000169-SHF [115338],Ardo, Belgium10  - Order: 000185-SHF [115337],Ardo, Belgium20  - Order: 000185-SHF [115337],Ardo, Belgium40  - Order: 000185-SHF [115337],Ardo, Belgium50  - Order: 000185-SHF [115337],Ardo, Belgium60  - Order: 000185-SHF [115337],Ardo, Belgium",Paid,"By Success Management on 25 Feb, 2025","SI246000161, 10  - Order: 000170-SHF [115368],Ardo, Belgium10  - Order: 000169-SHF [115338],Ardo, Belgium10  - Order: 000185-SHF [115337],Ardo, Belgium20  - Order: 000185-SHF [115337],Ardo, Belgium40  - Order: 000185-SHF [115337],Ardo, Belgium50  - Order: 000185-SHF [115337],Ardo, Belgium60  - Order: 000185-SHF [115337],Ardo, Belgium",,40,18/6/2024,Supplied to Buyer,Supplied to Buyer,"148,184.770",0,Order: 000185-SHF [115337],#950,"40  _   000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]  _  Order: 000185-SHF [115337]",0.000,Supplied to Buyer,Buyer,1,"-,100.000%",order_115337.PDF,1/9/2024,,24168.96,LUCY BORCHARD,93565.pdf,Delivered to Buyer,"Ardo, Belgium",,119700,28000
"30, 40  - Order: 000205-SHF [115457],Ardo, Belgium",22/11/2024,,Shufersal,"115457, 40",1060,1060,,,,335.15729999999996,3.00,"Ardo, Belgium  _ Shufersal",,,OTPU6528716,40 FT.,EUR,8,10,Yes,Completed,0,,11171.91,0,"25,686.400",,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 14 Dec, 2024",,"SI246000205, 30, 40  - Order: 000205-SHF [115457],Ardo, Belgium50  - Order: 000205-SHF [115457],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000205, 30, 40  - Order: 000205-SHF [115457],Ardo, Belgium50  - Order: 000205-SHF [115457],Ardo, Belgium",,30 | 40,4/11/2024,Supplied to Buyer | Supplied to Buyer,Completed,"22,550.400",0,Order: 000205-SHF [115457],#898,"30  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000205-SHF [115457], 40  _   000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]  _  Order: 000205-SHF [115457]",,Completed,Buyer,1,"-,100.000%",order num. 115457.pdf,17/11/2024 | 17/11/2024,29564,11171.91,Zim,correct billing document - 9000024787-.pdf,Delivered to Buyer,"Ardo, Belgium",9000024787,1060,1060
"30  - Order: 000478-SHF [115490],Ardo, Belgium",26/5/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,2340,,,,,881.9928,3.00,"Ardo, Belgium  _ Shufersal",,,CXRU155791/1,40 FT.,EUR,8,10,No,Partially Shipped,2340,,29399.76,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 18 May, 2025",Last  days,,,"By Success Management on 25 May, 2025",,,30,8/5/2025,Shipping Not Started,Partially Shipped,,0,Order: 000478-SHF [115490],#1371,"30  _   000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000478-SHF [115490]",,Partially Shipped,Buyer,,"-,100.000%",115490.pdf | order num. 115490.pdf,18/5/2025,,29399.76,,"Ardo - Delivery Note.PDF, complete set Shufersal 115490-30 - so 176001.pdf, CO_print_92 2025 016420 115490-30 - qo 176001.pdf, set Shufersal 115490-30 - so 176001.pdf",In Transit,"Ardo, Belgium",9000032554,,
"30  - Order: 000463-SHF [115506],Ardo, Belgium",3/6/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,1890,,,,,737.3835,3.00,"Ardo, Belgium  _ Shufersal",,,CAAU 4030872,40 FT.,EUR,8,10,No,Partially Shipped,1890,,24579.45,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 26 May, 2025",Last  days,,,"By SmartSuite Automation on 28 May, 2025",,,30,16/5/2025,Shipping Not Started,Partially Shipped,,0,Order: 000463-SHF [115506],#1385,"30  _   000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000463-SHF [115506]",,Partially Shipped,Buyer,,"-,100.000%",order_115506 (2).PDF,1/6/2025,,24579.45,,"CO_print_92 2025 016901.pdf, set Shufersal 115506-30 - so 170665.pdf",In Transit,"Ardo, Belgium",9000032904,,
"30  - Order: 000420-SHF [114758],Ardo, Belgium",19/3/2024,,Shufersal,,2100,2100,,,,738.5904,3.00,"Ardo, Belgium  _ Shufersal",,,ZMOU8817163,40 FT.,EUR,8,10,No,Completed,0,,24619.68,0,"28,032.520",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 12 Jan, 2025",,"SI246000013, 30  - Order: 000420-SHF [114758],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000013, 30  - Order: 000420-SHF [114758],Ardo, Belgium",,30,1/3/2024,Supplied to Buyer,Completed,"24,619.680",0,Order: 000420-SHF [114758],#970,"30  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000420-SHF [114758]",,Completed,Buyer,,"-,100.000%",order_114758.PDF,14/1/2024,,24619.68,Zim,set shufersal 114758-30.pdf,Delivered to Buyer,"Ardo, Belgium",9000012021,25200,25200
"30  - Order: 000411-SHF [115048],Ardo, Belgium",,,Shufersal,,,,,,,0.000,3.00,"Ardo, Belgium  _ Shufersal",,,,40 FT.,EUR,18,10,No,Supplied to Buyer,,,,,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By SmartSuite Automation on 13 Jan, 2025",,,,"By Udi Stryk on 20 Feb, 2025",,,30,,Supplied to Buyer,Supplied to Buyer,,0,Order: 000411-SHF [115048],#1180,"30  _   000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000411-SHF [115048]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115048.PDF,28/4/2024,,,,,In Transit,"Ardo, Belgium",,,
"30  - Order: 000410-SHF [115132],Ardo, Belgium",7/5/2024,,Shufersal,,98,98,,,,0.000,3.00,"Ardo, Belgium  _ Shufersal",,,SEKU 909 552 5,40 FT.,EUR,8,10,No,Completed,0,,0.000,0,,Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 14 Jan, 2025",,,,"By Udi Stryk on 20 Feb, 2025",,,30,19/4/2024,Supplied to Buyer,Completed,,0,Order: 000410-SHF [115132],#1223,"30  _   000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]  _  Order: 000410-SHF [115132]",,Completed,Buyer,0.82,"-,100.000%",order_115132.PDF,2/6/2024,,0,,"CO_print_92 2024 014504- koolskamp coo.pdf, set shufersal 115132-30.pdf",Delivered to Buyer,"Ardo, Belgium",9000016726,1170,1170
"30  - Order: 000329-SHF [114696],Ardo, Belgium",17/2/2024,,Shufersal,,540,,,,,180.4032,3.00,"Ardo, Belgium  _ Shufersal",,,ZMOU896084/7​,40 FT.,EUR,8,10,No,Supplied to Buyer,540,,6013.44,,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 8 Jan, 2025",,,,"By Udi Stryk on 20 Feb, 2025",,,30,30/1/2024,Supplied to Buyer,Supplied to Buyer,,0,Order: 000329-SHF [114696],#926,"30  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000329-SHF [114696]",,Supplied to Buyer,Buyer,,"-,100.000%",Print data.PDF,18/2/2024,,6013.44,,"Draft_BL_ZIMUANR81065993.pdf, Billing Document - 9000013142.pdf, Ardo - Delivery Note.PDF",Delivered to Buyer,"Ardo, Belgium",,,
"30  - Order: 000314-SHF [115550],Ardo, Belgium",28/1/2025,,Shufersal,,29,,יצא חש' SI256000015,,,696.3681,3.00,"Ardo, Belgium  _ Shufersal",,,CAAU4030595,40 FT.,EUR,8,10,No,Completed,29,,23212.27,2305,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 4 Feb, 2025",,,,"By Success Management on 19 Jun, 2025",,,30,10/1/2025,Supplied to Buyer,Completed,,0,Order: 000314-SHF [115550],#1273,"30  _   000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]  _  Order: 000314-SHF [115550]",,Completed,Buyer,0.91,"-,100.000%",הזמנת רכש 0000115550.PDF,19/1/2025,,23212.27,,"CO_print_92 2025 001762.pdf, set shufersal 115550-30 - so 144480.pdf",Delivered to Buyer,"Ardo, Belgium",9000027514,2305,
"30  - Order: 000217-SHF [115501],Ardo, Belgium",9/12/2024,,Shufersal,,23,,,,,714.1998,3.00,"Ardo, Belgium  _ Shufersal",,,TEMU925206/1​,40 FT.,EUR,8,10,No,Supplied to Buyer,23,,23806.66,2070,"48,376.170",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 29 Jan, 2025",,"SI256000004, 20  - Order: 000217-SHF [115501],Ardo, Belgium30  - Order: 000217-SHF [115501],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI256000004, 20  - Order: 000217-SHF [115501],Ardo, Belgium30  - Order: 000217-SHF [115501],Ardo, Belgium",,30,21/11/2024,Supplied to Buyer,Supplied to Buyer,"48,376.170",0,Order: 000217-SHF [115501],#1264,"30  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000217-SHF [115501]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115501.PDF,15/12/2024,,23806.66,,Output12240429166961881959.pdf,Delivered to Buyer,"Ardo, Belgium",9000025464,2070,
"30  - Order: 000185-SHF [115337],Ardo, Belgium",22/10/2024,,Shufersal,"115337, 30",,,,,,676.7711999999999,3.00,"Ardo, Belgium  _ Shufersal",,,CXRU1245277,40 FT.,EUR,8,10,Yes,Supplied to Buyer,,,22559.04,0,"51,688.960",,0.00,0.00,0.00,0.00,0.00,0.00,"By Udi Stryk on 31 Oct, 2024",,"SI246000193, 80  - Order: 000185-SHF [115337],Ardo, Belgium30  - Order: 000185-SHF [115337],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000193, 80  - Order: 000185-SHF [115337],Ardo, Belgium30  - Order: 000185-SHF [115337],Ardo, Belgium",,30,4/10/2024,Supplied to Buyer,Supplied to Buyer,"45,108.000",0,Order: 000185-SHF [115337],#873,"30  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000185-SHF [115337]",0.000,Supplied to Buyer,Buyer,0.82,"-,100.000%",order_115337.PDF,1/9/2024,29455,22559.04,Borchard Lines,93564.pdf,Delivered to Buyer,"Ardo, Belgium",9000023381,25200,25200
"30  - Order: 000171-SHF [115302],Ardo, Belgium",1/10/2024,,Shufersal,,2180,,"יש הפרש קטן בין החש' מפריורטי למשלוח
 חש' שולמה",,,658.6041,3.00,"Ardo, Belgium  _ Shufersal",,,CXRU131621/5,40 FT.,EUR,8,10,No,Completed,2180,,21953.47,,"25,126.380",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 30 Jan, 2025",,"SI246000192, 30  - Order: 000171-SHF [115302],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000192, 30  - Order: 000171-SHF [115302],Ardo, Belgium",,30,13/9/2024,Supplied to Buyer,Completed,"21,948.240",0,Order: 000171-SHF [115302],#1269,"30  _   000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]  _  Order: 000171-SHF [115302]",,Completed,Buyer,,"-,100.000%",order_115302.PDF,6/10/2024,,21953.47,,"Billing Document - 9000022438.pdf, Delivery Note 26050075542_26241014488.pdf",Delivered to Buyer,"Ardo, Belgium",9000022438,,
"20  - Order: 000478-SHF [115490],Ardo, Belgium",26/5/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,2070,,,,,714.1998,3.00,"Ardo, Belgium  _ Shufersal",,,CXRU131884/0,40 FT.,EUR,8,10,No,Partially Shipped,2070,,23806.66,,,Dry,0.00,0.00,0.00,0.00,1,0.00,"By Success Management on 18 May, 2025",Last  days,,,"By SmartSuite Automation on 20 May, 2025",,,20,8/5/2025,Shipping Not Started,Partially Shipped,,0,Order: 000478-SHF [115490],#1370,"20  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000478-SHF [115490]",,Partially Shipped,Buyer,,"-,100.000%",115490.pdf | order num. 115490.pdf,11/5/2025,,23806.66,,"set Shufersal 115490-20 - so 175988.pdf, CO_print_92 2025 016415 115490-20 - so 175988.pdf",In Transit,"Ardo, Belgium",9000032552,,
"20  - Order: 000470-SHF [114402],Ardo, Belgium",13/8/2023,,Shufersal,,1920,,,,,860.544,3.00,"Ardo, Belgium  _ Shufersal",,,ZMOU8813126 ,40 FT.,EUR,8,10,No,Supplied to Buyer,1920,,28684.8,28800,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 14 Jan, 2025",,,,"By Udi Stryk on 20 Feb, 2025",,,20,26/7/2023,Supplied to Buyer,Supplied to Buyer,,0,Order: 000470-SHF [114402],#1228,"20  _   000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000470-SHF [114402]",0.000,Supplied to Buyer,Buyer,,"-,100.000%",order_114402.PDF,6/8/2023,,28684.8,,"Set documents 114402-20.pdf, PR010068818090609530.pdf",Delivered to Buyer,"Ardo, Belgium",9000005866 ,28800,
"20  - Order: 000463-SHF [115506],Ardo, Belgium",14/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,,,,,,609.0942,3.00,"Ardo, Belgium  _ Shufersal",,,,40 FT.,EUR,8,10,No,Partially Shipped,,,20303.14,,"20,298.600",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 1 Apr, 2025",,"20053, 20  - Order: 000463-SHF [115506],Ardo, Belgium",New,"By Success Management on 6 May, 2025","20053, 20  - Order: 000463-SHF [115506],Ardo, Belgium",,20,27/3/2025,Supplied to Buyer,Partially Shipped,"20,298.600",0,Order: 000463-SHF [115506],#1351,"20  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000463-SHF [115506]",,Partially Shipped,Buyer,,"-,100.000%",order_115506 (2).PDF,20/4/2025,29885,20303.14,,Billing Document - 9000030895.pdf,Delivered to Buyer,"Ardo, Belgium",9000030895,,
"20  - Order: 000436-SHF [114819],Ardo, Belgium",20/6/2024,,Shufersal,,2070,2070,,,,721.35,3.00,"Ardo, Belgium  _ Shufersal",,,ZMOU881711/6,40 FT.,EUR,8,10,No,Supplied to Buyer,0,,24045,0,"3,825.950",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 14 Jan, 2025",,"246000031S, 20  - Order: 000436-SHF [114819],Ardo, Belgium",New,"By Udi Stryk on 20 Feb, 2025","246000031S, 20  - Order: 000436-SHF [114819],Ardo, Belgium",,20,2/6/2024,Supplied to Buyer,Supplied to Buyer,,0,Order: 000436-SHF [114819],#1218,"20  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000436-SHF [114819]",,Supplied to Buyer,Buyer,,"-,100.000%",,3/3/2024,,24045,Zim,,In Transit,"Ardo, Belgium",9000013463,24840,24840
"20  - Order: 000421-SHF [114759],Ardo, Belgium",,,Shufersal,,,,,,,0.000,3.00,"Ardo, Belgium  _ Shufersal",,,,40 FT.,EUR,18,10,No,Supplied to Buyer,,,,,,Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By SmartSuite Automation on 13 Jan, 2025",,,,"By Udi Stryk on 20 Feb, 2025",,,20,,Supplied to Buyer,Supplied to Buyer,,0,Order: 000421-SHF [114759],#1201,"20  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000421-SHF [114759]",,Supplied to Buyer,Buyer,,"-,100.000%",order_114759.PDF,10/12/2023,,,,,In Transit,"Ardo, Belgium",,,
"20  - Order: 000420-SHF [114758],Ardo, Belgium",5/1/2024,,Shufersal,,2070,2070,,,,745.0379999999999,3.00,"Ardo, Belgium  _ Shufersal",,,ZMOU883301/4,40 FT.,EUR,8,10,No,Completed,0,,24834.6,0,"28,268.910",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 12 Jan, 2025",,"SI246000018, 20  - Order: 000420-SHF [114758],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000018, 20  - Order: 000420-SHF [114758],Ardo, Belgium",,20,18/12/2023,Supplied to Buyer,Completed,"24,834.600",0,Order: 000420-SHF [114758],#966,"20  _   000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000420-SHF [114758]",,Completed,Buyer,,"-,100.000%",order_114758.PDF,7/1/2024,,24834.6,Zim,set shufersal 114758-20.pdf,Delivered to Buyer,"Ardo, Belgium",9000011499,24840,24840
"20  - Order: 000411-SHF [115048],Ardo, Belgium",10/3/2024,,Shufersal,,1920,1920,,,,736.9935,3.00,"Ardo, Belgium  _ Shufersal",,,GMOU8879459,40 FT.,EUR,8,10,No,Supplied to Buyer,0,,24566.45,0,"27,997.550",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 12 Jan, 2025",,"SI246000069, 20  - Order: 000411-SHF [115048],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000069, 20  - Order: 000411-SHF [115048],Ardo, Belgium",,20,21/2/2024,Supplied to Buyer,Supplied to Buyer,"24,566.450",0,Order: 000411-SHF [115048],#981,"20  _   000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000411-SHF [115048]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115048.PDF,21/4/2024,,24566.45,Zim,Billing Document - 9000014157.pdf,Delivered to Buyer,"Ardo, Belgium",9000014157,28800,28800
"20  - Order: 000406-SHF [115448],Ardo, Belgium",2/12/2024,,Shufersal,,,,יצא חש' 256000001. צריך להכניס למערכת ולקשר,,,737.3835,3.00,"Ardo, Belgium  _ Shufersal",,,OTPU645775/7,40 FT.,EUR,8,10,No,Supplied to Buyer,,,24579.45,,,Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 26 Jan, 2025",,,,"By Udi Stryk on 20 Feb, 2025",,,20,14/11/2024,Shipping Not Started,Supplied to Buyer,,0,Order: 000406-SHF [115448],#1253,"20  _   000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000406-SHF [115448]",,Supplied to Buyer,Buyer,0.64,"-,100.000%",order_115448 (1).PDF,24/11/2024,,24579.45,,"CO_print_92 2024 040788.pdf, Delivery Note_26050076729_26251003533_.pdf, Billing Document - 9000025122.pdf",In Transit,"Ardo, Belgium",9000025122,,
"20  - Order: 000376-SHF [115290],Ardo, Belgium",6/8/2024,,Shufersal,,2100,2100,,,,676.7711999999999,3.00,"Ardo, Belgium  _ Shufersal",,,SEGU9504383,40 FT.,EUR,8,10,No,Completed,0,,22559.04,0,"25,789.750",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Operation Manager on 11 Jan, 2025",,"SI246000143, 20  - Order: 000376-SHF [115290],Ardo, Belgium",Paid,"By Udi Stryk on 20 Feb, 2025","SI246000143, 20  - Order: 000376-SHF [115290],Ardo, Belgium",,20,19/7/2024,Supplied to Buyer,Completed,"22,559.040",0,Order: 000376-SHF [115290],#944,"20  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000376-SHF [115290]",,Completed,Buyer,1,"-,100.000%",order_115290.PDF,11/8/2024,,22559.04,LUCY BORCHARD,"DRAFT BORUWNM095ANHF05.pdf, Invoice  9000020340.pdf",Delivered to Buyer,"Ardo, Belgium",9000020340,25200,25200
