Shipping ID,Arrival Date,Arrival Filter,Buyer,Buyer's P.O Lines Confirmation,Cartons Per Shipment,Cartons Per Shipment (from Report),Comments,Commission Difference,Commission from Report,Commission payment ($/€),Commission Rate (%),Commission Rates,Completed Fields,Completion Percentage,Container number/ ID,Container Size,Currency for P.O,Days to destination,Delay in Ports,dev - Confirmation Received,dev - Order Status (Formula),Difference (Cartons/🚢 est vs actual),Difference (Estimated vs Arrived),Difference between order & Shipping,Difference Units/🚢 (est. vs actual),Differnce between Shipping & Invoice (ILS),Dry/ Reefer Container?,Est. Arrival in Next 14 days,Est. Arrival in Next 30 days,Est. Arrival in Next 7 days,Est. Arrival in past 14 days,Est. Arrival in past 30 days,Est. Arrival in past 7 days,First Created,Formula Shorba,Invoice ID,Invoice Status,Last Updated,Link to Invoices,Link to Project status,Linked Order line,Loading Start/Commercial invoice DATE,Lookup OL Statuses,Lookup Order Status,LookupTEMP,Open Comments,Order,Order line ID,Order Line Items,Order Lines SUM. Price,Order Status (No Needed),Payer,Percent Completed,Percentage arrived in shipment,Purchase order files (Orders),Requested delivery date,Shipment Number (Buyer Ref.),Shipment's Invoice.s SUM. $/€,Shipping company,Shipping documentation,Shipping Status,Supplier,Supplier's Invoice Number.s,Units Per Shipment,Units Per Shipment (from Report)
"150  - Order: 000217-SHF [115501],Ardo, Belgium",8/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,2837,,,,,609.0942,3.00,"Ardo, Belgium  _ Shufersal",,,CAAU4027837,40 FT.,EUR,8,10,No,Supplied to Buyer,2837,,20303.14,,"20,298.600",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 27 Mar, 2025",,"20043, 150  - Order: 000217-SHF [115501],Ardo, Belgium",New,"By Success Management on 6 May, 2025","20043, 150  - Order: 000217-SHF [115501],Ardo, Belgium",,150,21/3/2025,Supplied to Buyer,Supplied to Buyer,"20,298.600",0,Order: 000217-SHF [115501],#1347,"150  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000217-SHF [115501]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115501.PDF,14/4/2025,,20303.14,,"set Shufersal 115501-150 - so 124407.pdf, CO_print_92 2025 009965.pdf",Delivered to Buyer,"Ardo, Belgium",9000030641,,
"140  - Order: 000406-SHF [115448],Ardo, Belgium",1/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,2070,,,,,714.1998,3.00,"Ardo, Belgium  _ Shufersal",,,SEGU950420/7,40 FT.,EUR,8,10,No,Supplied to Buyer,2070,,23806.66,,"23,796.720",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 17 Mar, 2025",,"20049, 140  - Order: 000406-SHF [115448],Ardo, Belgium",New,"By Success Management on 6 May, 2025","20049, 140  - Order: 000406-SHF [115448],Ardo, Belgium",,140,14/3/2025,Supplied to Buyer,Supplied to Buyer,"23,796.720",0,Order: 000406-SHF [115448],#1342,"140  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000406-SHF [115448]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115448 (1).PDF,9/3/2025,29871,23806.66,,Billing Document - 9000030340.pdf,Delivered to Buyer,"Ardo, Belgium",9000030340,,
"140  - Order: 000217-SHF [115501],Ardo, Belgium",13/5/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,,,,,,0.000,,,,,,40 FT.,EUR,8,10,No,Supplied to Buyer,,,29399.37,,"29,399.760",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 8 May, 2025",,"20067, 140  - Order: 000217-SHF [115501],Ardo, Belgium",New,"By Success Management on 16 Jun, 2025","20067, 140  - Order: 000217-SHF [115501],Ardo, Belgium",,140,25/4/2025,Supplied to Buyer,Supplied to Buyer,"29,399.760",0,Order: 000217-SHF [115501],#1368,"140  _   000032 - EXTRA FINE GARDEN PEAS EK1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000217-SHF [115501]",,Supplied to Buyer,,,"-,100.000%",order_115501.PDF,14/4/2025,,29399.37,,"CO_print_92 2025 014144.pdf, set Shufersal 115501-140 - so 124406.pdf",Delivered to Buyer,"Ardo, Belgium",9000032027,,
"130  - Order: 000406-SHF [115448],Ardo, Belgium",11/3/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,,,,,,609.0942,3.00,"Ardo, Belgium  _ Shufersal",,,OTPU 6528589,40 FT.,EUR,8,10,No,Supplied to Buyer,,,20303.14,1890,"20,298.600",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 2 Mar, 2025",,", 130  - Order: 000406-SHF [115448],Ardo, Belgium",New,"By Success Management on 24 Apr, 2025",", 130  - Order: 000406-SHF [115448],Ardo, Belgium",,130,21/2/2025,Supplied to Buyer,Supplied to Buyer,"20,298.600",0,Order: 000406-SHF [115448],#1330,"130  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000406-SHF [115448]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115448 (1).PDF,23/2/2025,,20303.14,,"CO_print_92 2025 006835 - so 124146.pdf, set shufersal 115448-130 - so 124146.pdf",Delivered to Buyer,"Ardo, Belgium",9000029446,1890,
"130  - Order: 000217-SHF [115501],Ardo, Belgium",1/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,2340,,,,,720.4205999999999,3.00,"Ardo, Belgium  _ Shufersal",,,SEGU 950 433 6,40 FT.,EUR,8,10,No,Supplied to Buyer,2340,,24014.02,,"24,008.400",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 17 Mar, 2025",,"20046, 130  - Order: 000217-SHF [115501],Ardo, Belgium",New,"By Success Management on 6 May, 2025","20046, 130  - Order: 000217-SHF [115501],Ardo, Belgium",,130,14/3/2025,Supplied to Buyer,Supplied to Buyer,"24,008.400",0,Order: 000217-SHF [115501],#1337,"130  _   000057 - MIX PEAS AND CARROT [Ardo, Belgium][Shufersal]  _  Order: 000217-SHF [115501]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115501.PDF,30/3/2025,,24014.02,,"SalesPackingSlip_PLLTB_14032025_150949_-417_P.pdf, Billing Document - 9000030347.pdf",Delivered to Buyer,"Ardo, Belgium",9000030347,,
"120  - Order: 000406-SHF [115448],Ardo, Belgium",27/1/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,,,,,,714.1998,3.00,"Ardo, Belgium  _ Shufersal",,,OTPU645797/3,40 FT.,EUR,8,10,No,Supplied to Buyer,,,23806.66,,,Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 26 Jan, 2025",,,,"By Udi Stryk on 20 Feb, 2025",,,120,9/1/2025,Supplied to Buyer,Supplied to Buyer,,0,Order: 000406-SHF [115448],#1257,"120  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000406-SHF [115448]",,Supplied to Buyer,Buyer,0.64,"-,100.000%",order_115448 (1).PDF,9/2/2025,,23806.66,,set shuferal 115448-120 - so 124124.pdf,Delivered to Buyer,"Ardo, Belgium",9000027458,,
"120  - Order: 000314-SHF [115550],Ardo, Belgium",13/5/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,2070,,,,,0.000,,,,,,40 FT.,EUR,8,10,No,Completed,2070,,23806.66,,"23,796.720",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 8 May, 2025",,"20068, 120  - Order: 000314-SHF [115550],Ardo, Belgium",New,"By Success Management on 16 Jun, 2025","20068, 120  - Order: 000314-SHF [115550],Ardo, Belgium",,120,25/4/2025,Supplied to Buyer,Completed,"23,796.720",0,Order: 000314-SHF [115550],#1367,"120  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000314-SHF [115550]",,Completed,,,"-,100.000%",הזמנת רכש 0000115550.PDF,1/6/2025,,23806.66,,"CO_print_92 2025 014143.pdf, set Shufersal 115550-120 - so 144495.pdf",Delivered to Buyer,"Ardo, Belgium",9000032026,,
"120  - Order: 000217-SHF [115501],Ardo, Belgium",8/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,2836,,,,,609.0942,3.00,"Ardo, Belgium  _ Shufersal",,,TTNU8475340,40 FT.,EUR,8,10,No,Supplied to Buyer,2836,,20303.14,,"20,298.600",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 27 Mar, 2025",,"20042, 120  - Order: 000217-SHF [115501],Ardo, Belgium",New,"By Success Management on 6 May, 2025","20042, 120  - Order: 000217-SHF [115501],Ardo, Belgium",,120,21/3/2025,Supplied to Buyer,Supplied to Buyer,"20,298.600",0,Order: 000217-SHF [115501],#1348,"120  _   000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]  _  Order: 000217-SHF [115501]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115501.PDF,30/3/2025,29882,20303.14,,"set Shufersal 115501-120 - so 124403.pdf, CO_print_92 2025 009964.pdf",Delivered to Buyer,"Ardo, Belgium",9000030640,,
"110  - Order: 000406-SHF [115448],Ardo, Belgium",4/2/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,,,,,,735.4329000000001,3.00,"Ardo, Belgium  _ Shufersal",,,TEMU9253690,40 FT.,EUR,8,10,No,Supplied to Buyer,,,24514.43,,"24,514.430",Reefer,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 26 Jan, 2025",,"20003, 110  - Order: 000406-SHF [115448],Ardo, Belgium",New,"By Success Management on 23 Apr, 2025","20003, 110  - Order: 000406-SHF [115448],Ardo, Belgium",,110,17/1/2025,Supplied to Buyer,Supplied to Buyer,"24,514.430",0,Order: 000406-SHF [115448],#1252,"110  _   000033 - EXTRA FINE GREEN BEANS BH1(600G) [Ardo, Belgium][Shufersal]  _  Order: 000406-SHF [115448]",,Supplied to Buyer,Buyer,,"-,100.000%",order_115448 (1).PDF,9/2/2025,,24514.43,,"CO_print_92 2025 001856.pdf, set Shufersal 115448-110 - so 124121.pdf",In Transit,"Ardo, Belgium",9000027843,,
"110  - Order: 000314-SHF [115550],Ardo, Belgium",1/4/2025,"Next 7 days, Next 15 days, Next 30 days",Shufersal,,2070,,,,,714.1998,3.00,"Ardo, Belgium  _ Shufersal",,,CAAU400238/2,40 FT.,EUR,8,10,No,Completed,2070,,23806.66,,"23,796.720",Dry,0.00,0.00,0.00,0.00,0.00,0.00,"By Success Management on 17 Mar, 2025",,"20048, 110  - Order: 000314-SHF [115550],Ardo, Belgium",New,"By Success Management on 6 May, 2025","20048, 110  - Order: 000314-SHF [115550],Ardo, Belgium",,110,14/3/2025,Supplied to Buyer,Completed,"23,796.720",0,Order: 000314-SHF [115550],#1338,"110  _   000054 - GREEN PEAS [Ardo, Belgium][Shufersal]  _  Order: 000314-SHF [115550]",,Completed,Buyer,,"-,100.000%",הזמנת רכש 0000115550.PDF,6/4/2025,29871,23806.66,,"DELIVERY NOTE 80510524.pdf, Billing Document - 9000030346.pdf",Delivered to Buyer,"Ardo, Belgium",9000030346,,
