Graphics Process ID,Open Comments,Product,Graphic files,Adaptation Process,Graphics Stage,Supplier,Buyer,Product sticker Measurements (CM),Box Sticker Measurements (mm/cm),Buyer's Approval Date,Choromoline confirmed?,Buyer's Approval for label,Auto Number,First Created,Last Updated
"Graphics: 000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",0,"000059 - REGUIAR GREEN BEANS BH3(800G) [Ardo, Belgium][Shufersal]",,"Frozen Vegetables, Shufersal- Ardo, Belgium, 27 Jan, 2025",New Process,"Ardo, Belgium",Shufersal,,,,No,New - Need to approve,#351,"By SmartSuite Automation on 27 Jan, 2025","By SmartSuite Automation on 27 Jan, 2025"
"Graphics: 000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",0,"000035 - CUT GREEN BEANS BG4(800G) [Ardo, Belgium][Shufersal]",,"Frozen Vegetables, Shufersal- Ardo, Belgium, 27 Jan, 2025",New Process,"Ardo, Belgium",Shufersal,,,,No,New - Need to approve,#352,"By SmartSuite Automation on 27 Jan, 2025","By SmartSuite Automation on 27 Jan, 2025"
"Graphics: 000328 - wafers hazelnut 175g [Balconi, Italy][Shufersal]",0,"000328 - wafers hazelnut 175g [Balconi, Italy][Shufersal]","240887 WAFERS NOCCIOLA SHUFERSAL 175g v1.pdf, Cutter guide wafers 175g.pdf","wafer cubes, balconi, Yochananof- Balconi, Italy, 19 Jan, 2025",Approved,"Balconi, Italy",Shufersal,,,1/1/2025,Yes,Approved	,#211,"By SmartSuite Automation on 4 Nov, 2024","By Udi Stryk on 22 Jan, 2025"
"Graphics: 000327 - wafers cocoa 175g [Balconi, Italy][Shufersal]",0,"000327 - wafers cocoa 175g [Balconi, Italy][Shufersal]","S011_WaferCubes_Chocolate_250g_226529.pdf, Cutter guide wafers 175g.pdf","wafer cubes, balconi, Yochananof- Balconi, Italy, 19 Jan, 2025",Approved,"Balconi, Italy",Shufersal,,,1/1/2025,Yes,Approved	,#212,"By SmartSuite Automation on 4 Nov, 2024","By Udi Stryk on 22 Jan, 2025"
"Graphics: 000039 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Shufersal]",0,"000039 - wafer cubes hazel nuts 250 gr [Balconi, Italy][Shufersal]",S011_WaferCubes_HazelNut_250g_226536.pdf,"wafer cubes, balconi, Yochananof- Balconi, Italy, 19 Jan, 2025",Approved,"Balconi, Italy",Shufersal,,,1/1/2025,Yes,New - Need to approve,#213,"By SmartSuite Automation on 4 Nov, 2024","By Udi Stryk on 22 Jan, 2025"
"Graphics: 000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal]",0,"000040 - wafer cubes chocolate 250 gr [Balconi, Italy][Shufersal]",S011_WaferCubes_Chocolate_250g_226529.pdf,"wafer cubes, balconi, Yochananof- Balconi, Italy, 19 Jan, 2025",Approved,"Balconi, Italy",Shufersal,,,1/1/2025,Yes,Approved	,#214,"By SmartSuite Automation on 4 Nov, 2024","By Udi Stryk on 22 Jan, 2025"
"Graphics: 000359 - organic corn cakes [Castelfood srl, Italy][Harduf - All Organics]",0,"000359 - organic corn cakes [Castelfood srl, Italy][Harduf - All Organics]",55536 Snacks_Perhiyot_CORN and WHOLE RICE and BUCKWHEAT_60g.pdf,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy, 19 Jan, 2025",Approved,"Castelfood srl, Italy",Harduf - All Organics,,140/60,2/5/2024,Yes,New - Need to approve,#208,"By SmartSuite Automation on 4 Nov, 2024","By Operation Manager on 22 Jan, 2025"
"Graphics: 000245 - Red Lentil and Organic Black Rice Snack [Castelfood srl, Italy][Harduf - All Organics]",0,"000245 - Red Lentil and Organic Black Rice Snack [Castelfood srl, Italy][Harduf - All Organics]",55535 Snacks_Perhiyot_RED LENTILS and BLACK RICE_60g.pdf,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy, 19 Jan, 2025",Approved,"Castelfood srl, Italy",Harduf - All Organics,,140/60,2/5/2024,Yes,New - Need to approve,#274,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000244 - Organic corn and black rice snack [Castelfood srl, Italy][Harduf - All Organics]",0,"000244 - Organic corn and black rice snack [Castelfood srl, Italy][Harduf - All Organics]",55533 Snacks_Perhiyot_CORN and BLACK RICE_60g.pdf,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy, 19 Jan, 2025",Approved,"Castelfood srl, Italy",Harduf - All Organics,,140/60,2/5/2024,Yes,New - Need to approve,#275,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000243 - Whole rice and pea crisp snack [Castelfood srl, Italy][Harduf - All Organics]",0,"000243 - Whole rice and pea crisp snack [Castelfood srl, Italy][Harduf - All Organics]",55532 Snacks_Perhiyot_RICE and PEAS_60g.pdf,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy, 19 Jan, 2025",Approved,"Castelfood srl, Italy",Harduf - All Organics,,140/60,2/5/2024,Yes,New - Need to approve,#276,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000246 - Organic corn and buckwheat snack [Castelfood srl, Italy][Harduf - All Organics]",0,"000246 - Organic corn and buckwheat snack [Castelfood srl, Italy][Harduf - All Organics]",55537 Snacks_Perhiyot_CORN and BUCKWHEATS_60g.pdf,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy, 19 Jan, 2025",Approved,"Castelfood srl, Italy",Harduf - All Organics,,140/60,2/5/2024,Yes,New - Need to approve,#277,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000247 - Corn Cakes Snack with Legumes
60 grams Harduf [Castelfood srl, Italy][Harduf - All Organics]",0,"000247 - Corn Cakes Snack with Legumes
60 grams Harduf [Castelfood srl, Italy][Harduf - All Organics]",55534 Snacks_Perhiyot_LEGUMES_60g (1).pdf,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy, 19 Jan, 2025",Approved,"Castelfood srl, Italy",Harduf - All Organics,,140/60,2/5/2024,Yes,New - Need to approve,#278,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000278 - Chocolate Eggs 3*60 gr. cluster packaging  [Chocolitaly , Italy][Yochananof]",0,"000278 - Chocolate Eggs 3*60 gr. cluster packaging  [Chocolitaly , Italy][Yochananof]","084 db - Yohananof - Surprise Chocolate eggs x3 Pack PRESS 191224.pdf, 084 db - Yohananof - Surprise Chocolate eggs Wrap 20g PRESS 191224.pdf, fustella foil AL 2020 egg 20g.pdf",", 19 Jan, 2025",Approved,"Chocolitaly , Italy",Shufersal,,,19/12/2024,Yes,Approved	,#271,"By Operation Manager on 19 Jan, 2025","By Operation Manager on 22 Jan, 2025"
"Graphics: 000071 - mini
  potato gnocchi 500gr [Ciemme, Italy][Shufersal]",1,"000071 - mini
  potato gnocchi 500gr [Ciemme, Italy][Shufersal]",,"Potato Gnocchi - with/ without gluten, Shufersal- Ciemme, Italy, 19 Jan, 2025",New Process,"Ciemme, Italy",Shufersal,,,,No,New - Need to approve,#292,"By Operation Manager on 22 Jan, 2025","By Operation Manager on 22 Jan, 2025"
